optimizer,epoch,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,val_accuracy_mean,val_accuracy_std
adamw,1,0.47255,0.002077079921428146,1.8226636857509934e+30,3.1569461086503526e+30,81.22,8.335538374934167
adamw,2,0.294333,0.006045154092328844,3.433900252892625e+29,4.349585284968709e+29,87.49666666666667,2.6003140835932377
adamw,3,0.25201266666666666,0.006587708731670906,9.275880162486706e+29,1.4900406122163257e+30,89.73,1.1101351269102329
adamw,4,0.2383753333333333,0.004531141394100749,5.714006628300538e+22,6.235222777547156e+22,89.75,1.0989085494252955
adamw,5,0.22170166666666669,0.009725456510279276,4.671399659195494e+31,7.90070547387566e+31,91.41666666666667,0.4104063027456214
adamw,6,0.20305399999999998,0.003941422712676235,1.7288989522155392e+22,1.4974383578792786e+22,90.78333333333335,0.09073771725876731
adamw,7,0.19834233333333331,0.006231976037609048,4.897641912630523e+31,8.33103602236076e+31,90.68333333333334,0.5993607705992585
adamw,8,0.191323,0.01035908388806655,4.40281520826205e+29,7.625899202784408e+29,91.47666666666667,1.6274622371451035
adamw,9,0.18390399999999998,0.010177988062480726,7.79808827950879e+31,1.3405591297596058e+32,91.75,0.2099999999999902
adamw,10,0.16998533333333332,0.0024881833399758332,3.076006503185575e+22,2.7459890250821765e+22,92.72333333333331,0.08621678104251394
adamw,11,0.13408166666666665,0.00030052010470737664,4.315926173257966e+22,7.475403413799104e+22,94.13,0.06244997998398834
adamw,12,0.122237,0.004724305134091157,6.733642355223354e+31,1.1314890512266157e+32,94.15666666666668,0.09018499505646095
adamw,13,0.12158366666666666,0.009376940296990975,2.1500831294738716e+22,3.724053220745429e+22,94.36333333333334,0.1823001188516729
adamw,14,0.11273299999999999,0.002947645161819854,3.993760428838515e+22,6.917395976006315e+22,94.35000000000001,0.2051828452868284
adamw,15,0.10825633333333333,0.0026521112973126437,6.835636841650696e+31,1.1839670311828659e+32,94.33999999999999,0.120000000000001
adamw,16,0.10495233333333333,0.0010910409402645385,1.7436487966072662e+23,2.5378326664521117e+23,94.32666666666667,0.10408329997331095
adamw,17,0.10454666666666666,0.0006391121445672382,5.288296563585168e+28,9.159593420775172e+28,94.39666666666666,0.14468356276139982
adamw,18,0.10333433333333335,0.0014172541526957464,8.312627262000616e+31,1.4397892762167232e+32,94.33666666666666,0.12013880860626087
adamw,19,0.10343866666666666,0.004745117947252036,5.661432852716713e+29,9.805888149843586e+29,94.39999999999999,0.1212435565298244
adamw,20,0.10361533333333334,0.0025017132796012658,1.8561231946128671e+22,3.214899678176528e+22,94.43,0.06244997998398578
sgd,1,0.599676,0.016533492038888816,1.9199126899002259e+31,2.077504874762504e+31,81.19666666666666,6.874127823464832
sgd,2,0.34222899999999995,0.002097837696295874,4.80296625584704e+31,7.198156059238234e+31,85.12666666666667,1.4344453051034518
sgd,3,0.29011800000000004,0.00263563635579718,1.2927681758443625e+32,2.1358575233804403e+32,84.90666666666668,1.9316918318751928
sgd,4,0.2650156666666667,0.004159137210207578,4.1877989908268507e+30,7.253480566788383e+30,89.01666666666667,1.786962040260881
sgd,5,0.23895833333333336,0.0072231939149750984,9.865802478931501e+30,1.7088069300812995e+31,89.60000000000001,0.5894913061275779
sgd,6,0.21968100000000002,0.006457551625809887,6.937876302863217e+23,1.1386456472853888e+24,90.25666666666666,0.36501141534660564
sgd,7,0.20878166666666664,0.005607092859346405,1.3045977294881938e+31,2.25962955091255e+31,90.23,2.4713356712514813
sgd,8,0.2021916666666667,0.0017573987405632575,4.922258758547709e+31,6.65677308007786e+31,88.88333333333333,3.1434429107800423
sgd,9,0.19786433333333334,0.0005331006784213689,1.2380626458515526e+31,1.5994667000445317e+31,91.65333333333335,0.22120880030716
sgd,10,0.188455,0.0016685685481873382,2.3238930253115245e+22,4.025100791194508e+22,92.05666666666667,0.47752835866923393
sgd,11,0.15587700000000002,0.0012523078694953631,1.6847065158367513e+30,2.91799722010213e+30,93.5,0.055677643628300626
sgd,12,0.14851566666666668,0.002066618574709252,2.6149307499546677e+22,4.529192917195671e+22,93.55,0.01999999999999602
sgd,13,0.14527400000000001,0.009974701399039465,1.864679925914552e+23,2.638140253464245e+23,93.64666666666666,0.12055427546683552
sgd,14,0.14064000000000002,0.0022246183942420334,1.3560571352329935e+31,2.348759716005195e+31,93.66666666666667,0.0776745346515474
sgd,15,0.13750333333333334,0.0009575073541928239,8.781441014887801e+29,1.5209901271326096e+30,93.64333333333333,0.09237604307034021
sgd,16,0.13321533333333332,0.0006653512856629322,1.8685256539277216e+23,2.6108790787151726e+23,93.73333333333333,0.06658328118479848
sgd,17,0.13313133333333335,0.0013833500400597433,1.8235366504323524e+31,1.9767145709911335e+31,93.72333333333334,0.07637626158260075
sgd,18,0.12761933333333333,0.00385185284419501,1.2615996979136178e+31,2.185154732600531e+31,93.74666666666667,0.056862407030772784
sgd,19,0.13164033333333333,0.0018526554815543456,1.622061411415538e+31,2.8094927775685957e+31,93.72666666666667,0.0503322295684673
sgd,20,0.13161366666666666,0.0002977655677430347,1.0214673008151285e+23,1.1821479507028971e+23,93.71999999999998,0.10816653826392378
